Year,Crops,Area,Harvested_Area,Average_Yield,Production
1999,Barley,1902.8,1902.8,0.18,334.9
1999,Chick-peas,160.8,160.8,0.15,23.6
1999,Maize,2318.2,2318.2,0.98,2267.2
1999,Tobacco,100.5,100.5,0.06,6
1999,Garlic,147.4,147.4,1.28,189.3
1999,Sesame,33.5,33.5,0.08,2.7
1999,Clover hay,1005,1005,1.37,1375.8
1998,Wheat,9694.5,9694.5,0.25,2452.7
1998,Barley,2311.1,2311.1,0.16,365.2
1998,Maize,3836.8,3836.8,0.55,2094.9
1998,Garlic,270.7,270.7,0.53,142.4
1998,Clover hay,1896.4,1896.5,2,3792.8
1997,Wheat,9549,9549,0.24,2282.2
1997,Barley,7427.5,7427.5,0.1,765
1997,Chick-peas,37,37,0.2,7.4
1997,Maize,4002.4,4002.4,1.31,5235.1
1997,Millet,5,5,0.5,2.5
1997,Tobacco,68,68,0.05,3.4
1997,Garlic,173.5,173.5,0.42,72.3
1997,Vetch,43,43,0.4,8.3
1997,Sesame,8,8,0.21,1.7
1997,Clover hay,966,966,2.19,2116.5
1997,Others_(Field_crops),2.5,2.5,0.16,0.4
1996,Wheat,1393.2,1393.2,0.14,199.2
1996,Barley,1428,1428,0.16,224.2
1996,Maize,3320,3320,1.76,5833.2
1996,Sorghum,235.6,235.6,1.6,377
1996,Millet,3.3,3.3,0.91,3
1996,Garlic,208.4,208.4,0.46,95.4
1996,Sesame,86.9,86.9,0.2,17.4
1996,Clover hay,507.1,507.1,1.69,856.5
1996,Alfalfa,143.7,143.7,0.71,102.2
1996,Others_(Field_crops),13.4,13.4,0.8,10.7
1995,Wheat,9456.1,9456.1,0.27,2505.9
1995,Barley,3635.5,3635.5,0.2,723.5
1995,Maize,3416.9,3416.9,1.54,5268.9
1995,Sorghum,180.5,180.5,1.6,289
1995,Garlic,147.1,147.1,0.92,135.2
1995,Sesame,53.5,53.5,0.2,10.7
1995,Clover hay,655.3,655.3,0.9,589.8
1995,Alfalfa,454.7,454.7,0.71,322.8
