Year,Crops,Area,Average_Yield,Production,Autum_Area,Autum_Average_Yield ,Autum_Production,Summer_Area,Summer_Average_Yield,Summer_Production
2016,Cabbage,1014,6,6077.1,824.2,6,4938.3,189.8,6,1138.8
2016,Cauliflower,770.9,3.9,3021.3,647.7,4,2590.1,123.2,3.5,431.2
2016,Pepper,767.7,5.8,4443.9,711,5.8,4147.4,56.6,5.2,296.5
2016,Pepper,4956.3,4.7,23338,3697.5,4.9,17998.3,1258.7,4.2,5339.6
2016,Beans,1811.5,1.8,3244,1791.5,1.8,3210.1,20,1.7,33.9
2016,Beans,723.8,3.1,2270.3,277.6,3.6,988.2,446.2,2.9,1282
2016,Jew's mallow,1262.1,2.2,2775,279.7,2.7,755.3,982.4,2.1,2019.7
2016,Okra,1818.2,1,1745.4,0,0,0,1818.2,1,1745.4
2016,Lettuce,5018.4,4.4,22013.9,4027.7,4.5,18249.4,990.7,3.8,3764.5
2016,Spinach,15,3.5,52.5,15,3.5,52.5,0,0,0
2016,Onion green,612.7,1.4,873.3,236.4,1.2,279,376.3,1.6,594.3
2016,Onion dry,1778.2,4.8,8449.1,1363.6,4.9,6630,414.6,4.4,1819.1
2016,Turnip,299.7,5,1490.5,299.7,5,1490.5,0,0,0
2016,Carrot,1287.1,4.9,6290.5,1142.2,5,5711,144.9,4,579.5
2016,Parsley,20,1.3,26,0,0,0,20,1.3,26
2016,Radish,328,3.6,1179.1,221.4,3.6,806.1,106.6,3.5,373
2016,Others_(Vegetables),1024.1,1.7,1761.6,611.1,1.7,1010,413,1.8,751.3
2015,Tomatoes,16559.3,9.5,156929,14237,9.7,138061.3,2322.3,8.1,18867.7
2015,Squash,8197.3,2.6,21176.4,6196.2,2.4,14908.5,2001,3.1,6268
2015,Eggplants,4196.8,3.6,14974,3128.1,3.6,11258.4,1068.8,3.5,3715.5
2015,Cucumber,8916.4,9.1,81349.6,8253.8,9,73952.4,662.6,11.2,7397.2
2015,Potato,15920,2.3,37289.3,12630.5,2.3,29065.5,3289.5,2.5,8223.8
2015,Cabbage,2137.6,5.7,12114.1,1485,5.8,8612.8,652.6,5.4,3501.2
2015,Cauliflower,389.5,3.8,1483.5,372.9,3.8,1417,16.6,4,66.5
2015,Pepper,1356.8,1,1282.5,889,0.9,791.9,467.8,1.1,490.6
2015,Pepper,3139.6,4.6,14393,2472.1,4.9,12040.6,667.6,3.5,2352.3
2015,Beans,1148.7,0.9,1005,1128.7,0.9,991,20,0.7,14
2015,Beans,1002.1,2.5,2472.2,392.9,3,1181.3,609.3,2.1,1291
2015,Peas,33.3,2.5,83.9,33.3,2.5,83.9,0,0,0
2015,Cowpeas,74.9,0.9,67.4,0,0,0,74.9,0.9,67.4
2015,Jew's mallow,2382.2,2.6,6286.7,26.6,2.8,74.6,2355.6,2.6,6212
2015,Okra,2147.5,1,2061.6,0,0,0,2147.5,1,2061.6
2015,Lettuce,4491.5,4,18145.6,3178,4,12839.1,1313.5,4,5306.5
2015,Sweet melon,13.4,3.7,50,0,0,0,13.3,3.8,50
2015,Water melon,33.3,4.3,144.2,0,0,0,33.3,4.3,144.2
2015,Spinach,6.7,5.5,36.7,6.7,5.5,36.7,0,0,0
2015,Onion green,1178.7,2.2,2611.1,762.5,2.2,1662.2,416.2,2.3,948.9
2015,Onion dry,1461.7,4.8,6965.2,912.3,4.6,4218.4,549.4,5,2746.8
2015,Turnip,33.3,5,166.5,33.3,5,166.5,0,0,0
2015,Carrot,809.1,5.8,4704.6,789.1,5.8,4584.8,20,6,119.8
2015,Radish,169.8,3.1,533,143.2,3.1,439.8,26.6,3.5,93.2
2015,Others_(Vegetables),614.2,1.8,1081.2,294.7,1.5,452.2,319.6,2,629
2014,Tomatoes,15286.2,11.6,176880.5,11987.3,12.8,153581.4,3298.9,7.1,23299.1
2014,Squash,8055.9,2.4,19659.8,5787.6,2.3,13168.2,2268.3,2.9,6491.6
2014,Eggplants,5054.3,4.9,24510,2457.7,6.9,16891,2596.4,2.9,7619
2014,Cucumber,7248.6,13.2,95540.2,6859.7,13.2,90411.9,388.8,13.2,5128.3
2014,Potato,19420.9,2.9,55515.6,14240.6,2.9,40788.4,5180.3,2.8,14727.2
2014,Cabbage,1726.2,4.3,7349.8,1360.6,4.3,5779.1,365.6,4.3,1570.7
2014,Cauliflower,586.3,3.4,1990.2,394.2,3.6,1412.3,192.1,3,577.9
2014,Pepper,1893.2,0.6,1094.9,1101,0.6,618.9,792.3,0.6,476.1
2014,Pepper,8278.6,4.2,35102.2,7325.9,4.1,30141,952.7,5.2,4961.2
2014,Beans,1161.9,0.8,867.1,1117.1,0.7,827.7,44.8,0.9,39.4
2014,Beans,1018.5,0.8,759.7,313.4,0.9,287.1,705,0.7,472.6
2014,Peas,105.9,2.1,224.5,6.6,2.1,14.1,99.3,2.1,210.4
2014,Cowpeas,33.2,0.5,16.6,0,0,0,33.2,0.5,16.6
2014,Jew's mallow,1286.3,2.7,3507.1,6.7,2.6,17.4,1279.5,2.7,3489.7
2014,Okra,1848.9,0.5,853.7,0,0,0,1848.9,0.5,853.7
2014,Lettuce,5096.5,4,20550.6,3781.6,4,15238.4,1314.9,4,5312.2
2014,Sweet melon,225.9,3.2,714.6,97.1,3.2,307.7,128.8,3.2,406.9
2014,Water melon,58,2.5,144.7,0,0,0,57.9,2.5,144.7
2014,Onion green,132.2,2.2,287,70.3,2.2,153.3,61.9,2.2,133.7
2014,Onion dry,1689.3,2.7,4594.7,1145.3,2.7,3103.1,544,2.7,1491.6
2014,Cucumber,83.3,0.6,50,0,0,0,83.3,0.6,50
2014,Turnip,39.9,5.5,217.9,20,5.4,108.3,19.9,5.5,109.6
2014,Carrot,920.3,5.2,4792,920.3,5.2,4792,0,0,0
2014,Parsley,56.7,2.6,144.4,0,0,0,56.7,2.6,144.4
2014,Radish,183.6,2.5,465,43.4,2.5,109.6,140.2,2.5,355.4
2014,Others_(Vegetables),120.2,1.7,206.1,18.3,2.2,39.5,101.7,1.6,166.6
2013,Tomatoes,13225.5,10.2,135329.9,9583.5,10.7,102766.4,3642,8.9,32563.5
2013,Squash,9948.5,2.2,21345.5,6761.5,2.1,14470.6,3187,2.2,6874.9
2013,Eggplants,7836,2.8,21668.6,4981.5,2.7,13276.6,2854.5,2.9,8391.9
2013,Cucumber,9593,7.2,69349.8,8696,7.3,63373.5,897,6.7,5976.3
2013,Potato,13281.5,2.9,38505.9,9969.5,3,29916.5,3312,2.6,8589.4
2013,Cabbage,1367,5.4,7435,1239,5.5,6807.8,128,4.9,627.2
2013,Cauliflower,476.5,2.7,1273.7,381.5,2.7,1034.1,95,2.5,239.6
2013,Pepper,1448.3,3.5,5084.9,1061.8,3.5,3750.4,386.5,3.5,1334.4
2013,Pepper,3306.8,3.5,11469.6,2547.3,3.6,9101.7,759.5,3.1,2367.8
2013,Beans,2058.5,2,4109.2,2032.5,2,4052,26,2.2,57.2
2013,Beans,1159.6,2.5,2845.7,565.6,3.2,1816.7,594,1.7,1029
2013,Peas,44.5,1.9,85.4,11.5,2.6,29.3,33,1.7,56.1
2013,Cowpeas,37,1.4,50.6,0,0,0,37,1.4,50.6
2013,Jew's mallow,1760.5,1.9,3374.4,0,0,0,1760.5,1.9,3374.4
2013,Okra,2279.5,1.2,2736.2,0,0,0,2279.5,1.2,2736.2
2013,Lettuce,5050,4,20010.4,3589,4.1,14750.8,1461,3.6,5259.6
2013,Sweet melon,27,4.4,119.1,0,0,0,27,4.4,119.1
2013,Spinach,1.5,3.9,5.9,1.5,3.9,5.9,0,0,0
2013,Onion green,171.5,2.2,372.2,149.5,2.2,330.1,22,1.9,42.1
2013,Onion dry,1164,2.7,3087,801,2.6,2068.4,363,2.8,1018.6
2013,Cucumber,137,1.5,205.5,0,0,0,137,1.5,205.5
2013,Turnip,4,2.7,10.6,4,2.7,10.6,0,0,0
2013,Carrot,834,4.2,3539.5,784,4.3,3344.5,50,3.9,195
2013,Parsley,30,3,89.9,30,3,89.9,0,0,0
2013,Radish,23,2.1,47.9,11,2,21.5,12,2.2,26.4
2013,Others_(Vegetables),545,1.5,806.7,345.5,1.5,501.4,199.5,1.5,305.2
2012,Tomatoes,9896.5,10.8,106746.9,9259.5,10.9,100758,637,9.4,5988.9
2012,Squash,6634,1.9,12536.2,6427,1.9,12047.3,207,2.4,488.9
2012,Eggplants,7811.5,3,23738.3,3992,3.4,13733,3819.5,2.6,10005.3
2012,Cucumber,9684.5,9.4,91265.9,9640,9.4,90850.9,44.5,9.3,415
2012,Potato,12462.5,2.6,31932.9,11775.5,2.5,29459.7,687,3.6,2473.2
2012,Cabbage,898,3.9,3467,812,4,3252,86,2.5,215
2012,Cauliflower,277.5,2.5,693.8,277.5,2.5,693.8,0,0,0
2012,Pepper,1383.8,3.9,5414.3,922.3,4.2,3906.8,461.5,3.3,1507.5
2012,Pepper,4317.1,6.1,26431.3,3345.6,6.8,22655.5,971.5,3.9,3775.8
2012,Beans,1419,1.8,2499.2,1419,1.8,2499.2,0,0,0
2012,Beans,991.8,2.3,2238.2,961.8,2.2,2140.8,30,3.3,97.4
2012,Peas,46.5,3.4,158.8,46.5,3.4,158.8,0,0,0
2012,Cowpeas,64,0.4,25.6,0,0,0,64,0.4,25.6
2012,Jew's mallow,2158.5,2.9,6234.9,5,0.5,2.5,2153.5,2.9,6232.4
2012,Okra,2743.5,0.3,821.1,0,0,0,2743.5,0.3,821.1
2012,Lettuce,3345.5,1.3,4197.3,3167.5,1.2,3932.1,178,1.5,265.2
2012,Sweet melon,26.5,3.8,101.5,3.5,8,28,23,3.2,73.5
2012,Water melon,52.5,3.5,185,2.5,4,10,50,3.5,175
2012,Spinach,5,2.1,10.5,5,2.1,10.5,0,0,0
2012,Onion green,231,4.1,940.5,231,4.1,940.5,0,0,0
2012,Onion dry,421,2.3,983.4,256,2.3,598.7,165,2.3,384.7
2012,Cucumber,175.5,1.6,280.8,0,0,0,175.5,1.6,280.8
2012,Carrot,639.5,3.9,2498.9,639.5,3.9,2498.9,0,0,0
2012,Parsley,32,2.2,70.4,32,2.2,70.4,0,0,0
2012,Radish,91,1.1,97.2,76,1.2,91.2,15,0.4,6
2012,Others_(Vegetables),110,1.3,145.2,68,1.1,74.2,42,1.7,71
2011,Tomatoes,13004.8,8.2,106928.9,11873.8,8.4,99690.8,1131,6.4,7238.1
2011,Squash,7739.3,2.4,18475.2,7585.3,2.4,18015.4,154,3,459.6
2011,Eggplants,5264.5,5.2,27163.8,4389.5,5.2,22934.9,875,4.8,4228.9
2011,Cucumber,9348,12.4,115846.8,9303,12.4,115289.9,45,12.4,556.9
2011,Potato,7705.5,3.7,28709.9,6541.5,3.9,25210.9,1164,3,3499
2011,Cabbage,550.5,5.1,2816.2,439.5,5.2,2285,111,4.8,531.2
2011,Cauliflower,378,3.2,1206.4,368,3.2,1170,10,3.6,36.4
2011,Pepper,1739.1,3.6,6205.1,1588.6,3.7,5828.9,150.5,2.5,376.2
2011,Pepper,2419.2,6.9,16769.7,2374.7,6.9,16460.3,44.5,7,309.4
2011,Beans,1870,1.6,2910.1,1870,1.6,2910.1,0,0,0
2011,Beans,690.9,2.7,1838.9,685.4,2.7,1824.5,5.5,2.6,14.3
2011,Cowpeas,11,1.2,12.9,0,0,0,11,1.2,12.9
2011,Jew's mallow,1326.3,3.7,4914.6,111,2.7,302.4,1215.3,3.8,4612.2
2011,Okra,1711.8,1.2,2055.4,19,1.2,22.3,1692.8,1.2,2033.1
2011,Lettuce,2458.8,1.9,4634.7,2080.8,1.9,3905.5,378,1.9,729.2
2011,Sweet melon,31.5,5.3,166,0,0,0,31.5,5.3,166
2011,Spinach,2,4.5,9,2,4.5,9,0,0,0
2011,Onion green,206.8,2.5,514.4,206.8,2.5,514.3,0,0,0
2011,Onion dry,446.5,2.7,1191.2,254,2.5,632.9,192.5,2.9,558.3
2011,Cucumber,28,1.3,35.6,0,0,0,28,1.3,35.6
2011,Turnip,1,3.3,3.3,1,3.3,3.3,0,0,0
2011,Carrot,369.5,4.3,1600.6,369.5,4.3,1600.6,0,0,0
2011,Parsley,5,2.6,13.1,5,2.6,13.1,0,0,0
2011,Radish,33,1.6,52.6,33,1.6,52.6,0,0,0
2011,Others_(Vegetables),470,1.4,658.2,423,1.4,581.3,47,1.6,76.9
2010,Tomatoes,11078.3,7,77264,7793.8,7.8,60607.8,3284.5,5.1,16656.2
2010,Squash,9016,1.9,17212.7,8022,1.8,14211.5,994,3,3001.2
2010,Eggplants,5812.5,3.8,22265,4691,3.7,17433.4,1121.5,4.3,4831.5
2010,Cucumber,9571.5,10,95342.6,9405.5,10,93721.9,166,9.8,1620.7
2010,Potato,11326.5,2.5,28417.1,10684.5,2.5,26407.6,642,3.1,2009.5
2010,Cabbage,1339.6,4.3,5819.3,1336.6,4.3,5805,3,4.8,14.3
2010,Cauliflower,688.8,2.8,1939.4,665.3,2.8,1874.8,23.5,2.8,64.6
2010,Pepper,1812,2.7,4858.3,1442,2.8,3995,370,2.3,863.3
2010,Pepper,2974.1,3.4,9950,2832.6,3.3,9315,141.5,4.5,635.1
2010,Beans,2757.2,1,2745.5,2757.2,1,2745.5,0,0,0
2010,Beans,1050.3,1.7,1733.6,1001.3,1.7,1660,49,1.5,73.5
2010,Peas,148,1.7,251.6,148,1.7,251.6,0,0,0
2010,Cowpeas,200.5,1.1,226.8,0,0,0,200.5,1.1,226.8
2010,Jew's mallow,6162.5,2.5,15276.5,36,2.6,91.7,6126.5,2.5,15184.8
2010,Okra,3328.8,0.7,2409,28,0.6,16.9,3300.8,0.7,2392.1
2010,Lettuce,3662.5,4,14651.9,3264,4.1,13216.5,398.5,3.6,1435.4
2010,Sweet melon,91.5,4.2,387.7,4,4,16,87.5,4.3,371.7
2010,Water melon,24.5,4.5,110.3,0,0,0,24.5,4.5,110.3
2010,Spinach,6,2.8,16.7,6,2.8,16.7,0,0,0
2010,Onion green,395,2.5,981.1,395,2.5,981.1,0,0,0
2010,Onion dry,280.3,1.9,527.7,169.3,2.2,377.8,111,1.4,149.9
2010,Cucumber,80.5,1.5,121.6,0,0,0,80.5,1.5,121.6
2010,Turnip,22.3,0.1,1.2,22.3,0.1,1.2,0,0,0
2010,Carrot,812.3,4.5,3648.8,812.3,4.5,3648.8,0,0,0
2010,Parsley,27,2.4,65.6,27,2.4,65.6,0,0,0
2010,Radish,21,4.2,87.6,19,4.4,82.8,2,2.4,4.8
2010,Others_(Vegetables),572.5,1.3,737.5,512,1.3,664.7,60.5,1.2,72.6
2009,Tomatoes,7999.8,7.3,58297.3,6672.3,7.7,51172.1,1327.5,5.4,7125.2
2009,Squash,9305,2.3,21411.8,9013,2.3,20495.8,292,3.1,916.1
2009,Eggplants,4775.5,4.6,21753.3,4270,4.6,19701.3,505.5,4.1,2052
2009,Cucumber,7896.8,9.4,74018.6,7875.3,9.4,73816.6,21.5,9.4,202
2009,Potato,10540.5,2.7,28148.3,10333.5,2.7,27596,207,2.7,552.3
2009,Cabbage,2164.6,3.3,7129.4,2143.6,3.3,7060.2,21,3.3,69.2
2009,Cauliflower,1188.6,2.8,3270,1161.6,2.8,3195.7,27,2.8,74.3
2009,Pepper,1848.6,3,5527.5,1747.1,3,5239.1,101.5,2.8,288.3
2009,Pepper,2483.2,3.5,8743.1,2444.2,3.5,8617.9,39,3.2,125
2009,Beans,3171.1,2,6353.6,3128.1,2,6267.4,43,2,86.2
2009,Beans,748.9,2.5,1889.7,703.9,2.6,1817.7,45,1.6,72
2009,Peas,277.3,2,554.6,277.3,2,554.6,0,0,0
2009,Cowpeas,39.5,1.2,47.7,0,0,0,39.5,1.2,47.7
2009,Jew's mallow,4679.5,1.9,8879.8,167,2,338.3,4512.5,1.9,8541.5
2009,Okra,2484.1,0.8,1863.1,45.6,0.8,34.2,2438.5,0.8,1828.9
2009,Lettuce,3447,2.9,9881.4,3388,2.9,9712.3,59,2.9,169.1
2009,Sweet melon,9.5,3.5,33.3,0,0,0,9.5,3.5,33.3
2009,Spinach,8.3,3.2,26.3,8.3,3.2,26.3,0,0,0
2009,Onion green,624.2,2.8,1733.9,600.2,2.8,1672.7,24,2.6,61.2
2009,Onion dry,710,2.7,1923.6,640,2.7,1734,70,2.7,189.6
2009,Cucumber,27,1,27.3,0,0,0,27,1,27.3
2009,Turnip,52,2.1,109.2,46,2.1,96.6,6,2.1,12.6
2009,Carrot,1162,3.8,4357.5,1142,3.8,4282.5,20,3.8,75
2009,Parsley,18.2,2.3,42,18.2,2.3,42,0,0,0
2009,Radish,14.1,1.5,21.2,14.1,1.5,21.2,0,0,0
2009,Others_(Vegetables),584.5,1.4,829.4,496.5,1.4,714.8,88,1.3,114.7
2008,Tomatoes,9808.7,6,58660.3,6243.2,6.5,40257.8,3565.5,5.2,18402.4
2008,Squash,7721.5,1.3,10264.8,7016.5,1.3,9089.6,705,1.7,1175.3
2008,Eggplants,8726.5,2.6,23007.5,5752,2.7,15337.5,2974.5,2.6,7670
2008,Cucumber,8365.5,8.5,71305.3,8086,8.5,68369.4,279.5,10.5,2935.8
2008,Potato,15049.5,2.2,33301,14146,2.2,31143.7,903.5,2.4,2157.3
2008,Cabbage,1611.7,4.9,7897.9,1519.7,4.9,7513.4,92,4.2,384.5
2008,Cauliflower,686.5,2.5,1703.6,676.5,2.5,1680.6,10,2.3,23
2008,Pepper,2012.2,2.1,4250.7,1705.7,2.1,3636.8,306.5,2,613.8
2008,Pepper,3420.4,3.7,12566.2,3118.9,3.7,11605.8,301.5,3.2,960.4
2008,Beans,2153,1.1,2350.6,2134,1.1,2329.7,19,1.1,20.9
2008,Beans,1439.7,1.4,2030.6,1286.2,1.4,1818.1,153.5,1.4,212.5
2008,Peas,87,1.4,121.8,87,1.4,121.8,0,0,0
2008,Cowpeas,82.5,1.2,100.5,0,0,0,82.5,1.2,100.5
2008,Jew's mallow,6570.1,2.8,18062.8,214,3.4,717.8,6356.1,2.7,17345
2008,Okra,2442.7,0.7,1796.6,198,0.6,118.2,2244.7,0.8,1678.4
2008,Lettuce,4277,3.4,14727.7,3952.5,3.5,13650.4,324.5,3.3,1077.3
2008,Sweet melon,131,4.4,569.3,8.5,4.4,37.4,122.5,4.3,531.9
2008,Water melon,90,4.5,405,0,0,0,90,4.5,405
2008,Spinach,5,3.4,17,5,3.4,17,0,0,0
2008,Onion green,212.6,1.7,363.4,191.6,1.7,325.1,21,1.8,38.3
2008,Onion dry,2176.5,2.3,4893.3,1903,2.2,4230.8,273.5,2.4,662.5
2008,Cucumber,115,1.3,147.7,7,1.3,8.8,108,1.3,138.9
2008,Turnip,51,3.4,173.4,51,3.4,173.4,0,0,0
2008,Carrot,1340.5,4.8,6400,1255.5,4.8,6025.1,85,4.4,374.9
2008,Parsley,26,2.4,61.6,26,2.4,61.6,0,0,0
2008,Radish,42,2.5,103.5,42,2.5,103.5,0,0,0
2008,Others_(Vegetables),441.2,1.1,503.6,331.2,1.1,376.9,110,1.2,126.6
2007,Tomatoes,8882.9,5.8,51072.9,8740.2,5.8,50317.3,142.7,5.3,755.6
2007,Squash,5507.1,2.3,12847.8,4904.1,2.3,11460.9,603,2.3,1386.9
2007,Eggplants,13399.7,3.3,44160.4,13154.2,3.3,43329.9,245.5,3.4,830.5
2007,Cucumber,682,9.4,6400.6,667,9.4,6247.1,15,10.2,153.5
2007,Potato,1254.4,2.6,3308.7,1249.4,2.6,3294.7,5,2.8,14
2007,Cabbage,871,4.6,3972.6,871,4.6,3972.6,0,0,0
2007,Cauliflower,724.3,3.3,2404.7,724.3,3.3,2404.7,0,0,0
2007,Pepper,411.5,2.9,1174.3,367.5,2.9,1066.5,44,2.5,107.8
2007,Pepper,873.6,2.9,2513.9,833.6,2.9,2389.9,40,3.1,124
2007,Beans,372.9,1.3,464.6,372.9,1.3,464.6,0,0,0
2007,Beans,99,1.6,157.2,99,1.6,157.2,0,0,0
2007,Peas,1,2.8,2.8,1,2.8,2.8,0,0,0
2007,Cowpeas,19.5,1.3,25.4,0,0,0,19.5,1.3,25.4
2007,Jew's mallow,403,2.8,1135.6,30,3,91.2,373,2.8,1044.4
2007,Okra,207.5,0.7,146.3,49,0.7,36.3,158.5,0.7,110
2007,Lettuce,341.5,4.7,1608.5,341.5,4.7,1608.5,0,0,0
2007,Sweet melon,18,4.4,79.2,5,4.4,21.9,13,4.4,57.3
2007,Water melon,1,4.8,4.8,0,0,0,1,4.8,4.8
2007,Spinach,15,3.4,50.5,15,3.4,50.5,0,0,0
2007,Onion green,16,2.1,33.6,16,2.1,33.6,0,0,0
2007,Onion dry,250.5,2.4,604.7,240.5,2.4,577.2,10,2.8,27.5
2007,Cucumber,121,1.5,178.1,64,1.5,96.6,57,1.4,81.5
2007,Turnip,39,4.5,175.5,39,4.5,175.5,0,0,0
2007,Carrot,19,4.8,91.2,19,4.8,91.2,0,0,0
2007,Parsley,333.8,3.2,1081.5,333.8,3.2,1081.5,0,0,0
2007,Radish,21,2.4,50.4,21,2.4,50.4,0,0,0
2007,Others_(Vegetables),733.3,1.3,983.3,675.3,1.3,897.1,58,1.5,86.2
2006,Tomatoes,8046.6,5.7,45934.4,4153.1,7,29071.7,3893.5,4.3,16862.7
2006,Squash,8704.1,1.7,15067.5,7591.1,1.7,12775.8,1113,2.1,2291.7
2006,Eggplants,4385.4,4.3,18865.7,3530.9,4.5,15797.2,854.5,3.6,3068.5
2006,Cucumber,4915.9,7.9,38947.8,4885.9,7.9,38632.8,30,10.5,315
2006,Potato,14266.5,2.9,41308.8,13344.5,2.9,38178.6,922,3.4,3130.2
2006,Cabbage,1780.6,4.3,7643.4,1649.6,4.3,7147.7,131,3.8,495.7
2006,Cauliflower,855.7,2.2,1908.4,821.7,2.2,1818.4,34,2.7,90
2006,Pepper,2142.5,2.7,5704.3,1874.5,2.7,5106.1,268,2.2,598.2
2006,Pepper,1611.9,2.6,4163.8,1588.9,2.6,4107.3,23,2.5,56.5
2006,Beans,2484.5,0.8,1902.7,2455.5,0.8,1883.4,29,0.7,19.3
2006,Beans,1237.1,1.7,2144.1,1048.6,1.7,1826.7,188.5,1.7,317.4
2006,Peas,93,0.8,71.1,93,0.8,71.1,0,0,0
2006,Cowpeas,100.5,0.9,91.1,5,1.6,8.2,95.5,0.9,82.9
2006,Jew's mallow,7586,3,22835.6,951,3.3,3116.4,6635,3,19719.2
2006,Okra,2539.5,0.7,1710.5,131.5,0.6,82.7,2408,0.7,1627.8
2006,Lettuce,4019.5,2.8,11333.2,3847.5,2.8,10834.6,172,2.9,498.6
2006,Sweet melon,33.5,3.5,117.6,30.5,3.5,106.8,3,3.6,10.8
2006,Water melon,59,2,120,0,0,0,59,2,120
2006,Spinach,42.5,3.5,146.6,42.5,3.5,146.6,0,0,0
2006,Onion green,560.5,2.5,1402.9,560.5,2.5,1402.9,0,0,0
2006,Onion dry,1633,4.2,6777.8,1507,4.2,6300.8,126,3.8,477
2006,Cucumber,119,1.3,149.6,16,1.2,19.7,103,1.3,129.9
2006,Turnip,54.5,2.1,116.1,54.5,2.1,116.1,0,0,0
2006,Carrot,1898,2,3759.9,1898,2,3759.9,0,0,0
2006,Parsley,60,2.2,133.2,60,2.2,133.2,0,0,0
2006,Radish,60,2.6,157.7,57,2.7,153.2,3,1.5,4.5
2006,Others_(Vegetables),331.5,2.2,741.1,313.5,2.3,716,18,1.4,25.1
2005,Tomatoes,8877.9,6.4,56705.7,5233.7,7.1,37143.6,3644.2,5.4,19562.1
2005,Squash,7513.1,2.6,19719.1,6018.2,2.6,15833.9,1494.9,2.6,3885.2
2005,Eggplants,5258.6,4.1,21365,3243.8,4.3,13964.6,2014.8,3.7,7400.4
2005,Cucumber,4777.2,10.2,48530.9,4401.1,10.1,44385.1,376.1,11,4145.8
2005,Potato,7751,3.7,28706.5,6995.5,3.8,26687.8,755.5,2.7,2018.7
2005,Cabbage,1304.3,3,3858.5,1079.3,3,3241.1,225,2.7,617.4
2005,Cauliflower,730.8,2.8,2013.8,711.5,2.7,1943.1,19.3,3.7,70.7
2005,Pepper,1527.1,2.9,4458.8,1032,3,3115.6,495.1,2.7,1343.2
2005,Pepper,1848.5,3.3,6172.6,1604.2,3.2,5078.9,244.3,4.5,1093.7
2005,Beans,2571.9,0.7,1864.6,2314.7,0.7,1689.7,257.2,0.7,174.9
2005,Beans,2352.6,1.2,2792,1411.3,1.4,1905.3,941.3,0.9,886.7
2005,Peas,353.6,0.9,321.4,353.6,0.9,321.4,0,0,0
2005,Cowpeas,363.3,1.5,545.3,0,0,0,363.3,1.5,545.3
2005,Jew's mallow,5336.6,4.2,22142,462.9,2.7,1248.4,4873.7,4.3,20893.6
2005,Okra,1514.2,0.9,1292.5,128.6,0.6,82.9,1385.6,0.9,1209.6
