Year,Crops,Area,Harvested_Area,Average_Yield,Production
2001,Sesame,26.7,26.7,0.2,4.1
2001,Clover hay,2094.6,2094.6,9.7,20293.1
2001,Alfalfa,135.5,135.5,10.6,1429.9
2001,Others_(Field_crops),127.9,127.9,0.3,32.6
2000,Wheat,19274.7,19274.7,0.3,5272
2000,Barley,7309.3,7309.2,0.2,1548
2000,Vetch,5.5,5.5,0.1,0.6
2000,Chick-peas,193.8,193.8,0.5,99.8
2000,Maize,9983.7,9983.7,1.6,16317.8
2000,Sorghum,124.8,124.8,1.7,211.7
2000,Tobacco,52.2,52.2,0.1,5.2
2000,Garlic,285.8,285.7,1.5,436.9
2000,Sesame,229.6,229.6,0.1,26.4
2000,Clover hay,2527,2526.9,9,22678.3
2000,Others_(Field_crops),53.5,53.5,0.2,11.5
1999,Wheat,14243.9,13949.6,0.1,1486.8
1999,Barley,4431.1,4191.7,0.3,1382.2
1999,Lentils,36,36,0.1,2.5
1999,Vetch,73.7,39.2,0.1,3.7
1999,Chick-peas,244.9,244.9,0.1,35.2
1999,Maize,4688.1,4688.1,0.9,4062
1999,Sorghum,235.9,235.9,0.7,162.6
1999,Tobacco,100.5,100.5,0.1,6
1999,Garlic,270.4,270.4,1.3,356.8
1999,Vetch,75.9,75.9,0.1,6.1
1999,Sesame,33.5,33.5,0.1,2.7
1999,Clover hay,3148.1,3141.6,1.8,5540.1
1999,Alfalfa,65.3,65.3,0.2,13.1
1999,Others_(Field_crops),20.7,20.7,0.1,1.7
1998,Wheat,24902.8,24902.8,0.3,6243.1
1998,Barley,7074.1,7074.1,0.2,1397.5
1998,Lentils,3.3,3.3,0.2,0.5
1998,Vetch,100,100,0.2,14.8
1998,Chick-peas,163.3,163.3,0.1,11.8
1998,Maize,7310.2,7310.1,0.7,5077.8
1998,Sorghum,1000,1000,0.5,530
1998,Tobacco,53.3,53.3,0.1,4.5
1998,Garlic,884,884,0.7,577.4
1998,Sesame,365.3,365.3,0.1,30.7
1998,Clover hay,3775.7,3775.8,2.1,7848.6
1998,Others_(Field_crops),266.7,266.7,0.1,26.7
1997,Wheat,38483.7,38483.7,0.3,9445.1
1997,Barley,15284.8,15284.8,0.1,2103.9
1997,Lentils,51,51,0.1,4.9
1997,Vetch,160,160,0.1,20.6
1997,Chick-peas,87,87,0.3,23.7
1997,Maize,8370.9,8370.9,1.1,9081.7
1997,Sorghum,62,62,1.4,88.4
1997,Millet,76,76,0.6,44.4
1997,Tobacco,68,68,0.1,3.4
1997,Garlic,1573,1573,0.4,692.7
1997,Vetch,31,31,0.2,6
1997,Sesame,63,63,0.2,11.4
1997,Clover hay,2104.5,2104.5,2.6,5508.4
1997,Alfalfa,10,10,1,10
1997,Others_(Field_crops),54.5,54.5,0.2,12.4
1996,Wheat,15722,15722.1,0.2,3770.8
1996,Barley,6800,6800,0.1,961.8
1996,Vetch,380,380,0.2,76
1996,Chick-peas,331.1,331.1,0.2,70.7
1996,Maize,5746.7,5746.9,1.4,7788.6
1996,Sorghum,619.8,619.7,1.2,733.8
1996,Millet,29.2,29.3,0.6,17.5
1996,Tobacco,6.3,6.3,0.1,0.6
1996,Garlic,2348.7,2348.7,0.3,589.5
1996,Sesame,655.4,655.4,0.2,120.7
1996,Clover hay,1184.7,1184.6,1.9,2282.6
1996,Alfalfa,150.2,150.2,0.7,109
1996,Others_(Field_crops),13.4,13.4,0.8,10.7
1995,Wheat,23065.5,23065.5,0.3,6859
1995,Barley,16499.9,16499.9,0.1,2168.5
1995,Vetch,16.1,16.1,0.2,2.4
1995,Maize,5772.5,5772.5,1.3,7605.8
1995,Sorghum,180.5,180.5,1.6,289
1995,Garlic,1166,1166,0.4,500.6
1995,Sesame,153.1,153.1,0.3,41.6
1995,Clover hay,1905.9,1905.9,2.5,4677.3
1995,Alfalfa,454.7,454.7,0.7,322.8
1995,Others_(Field_crops),334.9,335,0.5,163.6
