Year,Crops,Area,Harvested_Area,Average_Yield,Production
2004,Barley,386.5,386.5,0.17,64.9
2004,Maize,1884.5,1884.5,2.08,3917.9
2004,Tobacco,10,10,0.25,2.5
2004,Garlic,1,1,3.5,3.5
2004,Clover Hay,68,68,7.04,478.8
2004,Others_(Field_crops),15,15,0.15,2.2
2003,Wheat,542.6,542.6,0.17,91.7
2003,Barley,1054.2,1054.2,0.21,223.5
2003,Maize,338,338,2.31,780.8
2003,Clover Hay,87,87,6.5,565.5
2003,Others_(Field_crops),33.5,33.5,0.15,5
2002,Wheat,1466.7,1466.7,0.06,93.9
2002,Barley,1803.1,1803.1,0.07,126.2
2002,Chick-peas,66.5,66.5,0.35,23.3
2002,Maize,1192.4,1192.4,1.34,1600.2
2002,Millet,20,20,3.25,64.9
2002,Sesame,26.6,26.6,0.41,11
2001,Wheat,889.2,889.2,0.06,53.4
2001,Barley,1236.9,1236.9,0.08,105.1
2001,Maize,782.5,782.5,1.51,1183.9
2001,Sorghum,32,32,2.56,81.8
2001,Millet,58.7,58.7,2.56,150
2001,Tobacco,138.8,138.8,0.15,20.8
2001,Sesame,26.7,26.7,0.15,4.1
2001,Clover Hay,111,111,3.75,416.4
2000,Wheat,845.9,845.9,0.15,131.1
2000,Barley,1122.4,1122.4,0.11,126.8
2000,Chick-peas,34.7,34.7,0.52,17.9
2000,Maize,2230.7,2230.7,1.35,3004.8
2000,Sorghum,124.8,124.8,1.7,211.7
2000,Tobacco,13.9,13.9,0.1,1.4
2000,Garlic,27.2,27.2,1.06,28.9
2000,Sesame,229.6,229.6,0.11,26.4
2000,Clover Hay,325.9,325.9,9.8,3193.5
1999,Wheat,180,180,0.18,32.4
1999,Barley,23.6,23.6,0.12,2.8
1999,Maize,1503.3,1503.3,0.75,1126
1999,Sorghum,14.8,14.8,0.8,11.8
1999,Garlic,30,30,1.2,36
1999,Clover Hay,318.6,318.6,1.6,509.8
1998,Wheat,420,420,0.19,81.1
1998,Barley,2429.3,2429.3,0.19,461.6
1998,Chick-peas,13.3,13.3,0.18,2.4
1998,Maize,2520,2520,0.77,1950.5
1998,Tobacco,53.3,53.3,0.08,4.5
1998,Sesame,325.3,325.3,0.09,28.3
1998,Clover Hay,139.3,139.3,0.43,60.5
1997,Wheat,3764.4,3764.4,0.18,688.9
1997,Barley,5047.3,5047.3,0.14,686.4
1997,Maize,1683,1683,0.86,1445.7
1997,Sorghum,15,15,1.11,16.7
1997,Millet,5,5,0.2,1
1997,Garlic,78.5,78.5,0.36,28.6
1997,Sesame,7,7,0.16,1.1
1997,Clover Hay,238.5,238.5,2.45,585.5
1996,Wheat,1092.7,1092.7,0.11,116.9
1996,Barley,2310,2310,0.1,228.7
1996,Chick-peas,139.9,139.9,0.3,42
1996,Maize,1407.9,1407.9,0.46,653.3
1996,Sorghum,6.9,6.9,0.7,4.8
1996,Garlic,20.1,20.1,0.24,4.8
1996,Sesame,473.2,473.2,0.18,85.2
1996,Clover Hay,264.7,264.7,0.51,135.8
1995,Wheat,748.9,748.9,0.16,122.1
1995,Barley,11524.5,11524.5,0.09,1025.7
1995,Maize,951.4,951.4,0.59,557.5
1995,Garlic,218.3,218.3,0.4,87.3
1995,Clover Hay,837.7,837.7,3.33,2792.5
1995,Others_(Field_crops),268.5,268.5,0.56,150.4
